ID,cognate,lang,cognateID,borrowed,pgmc_forms
332,héri,is,8821,,*hesan-
333,hare,en,8821,,*hesan-
334,haas,nl,8856,,*hesan-
335,Hase,de,8856,,*hesan-
336,here,en,34794,,*hiar-
337,hitte,nl,9464,,*hitjō-
338,Hitze,de,9464,,*hitjō-
339,laughter,en,6770,,*hlahtra-
340,lopen,nl,37604,,*hluppōn
341,laufen,de,37604,,*hluppōn
342,neck,en,8615,,*hnekkan-
343,nek,nl,6844,,*hnekkan-
344,hoen,nl,9911,,*hōniz-
345,Huhn,de,9911,,*hōniz-
346,roh,de,41576,,*hrawa-
347,raw,en,41576,,*hrawa-
348,rauw,nl,41567,,*hrawa-
349,rijp,nl,41132,,*hrīman-
350,ring,en,36384,,*hringa-
351,Ring,de,17019,,*hringa-
352,roof,en,3066,,*hrōfa-
353,rütteln,de,41953,,*hrudjan-
354,hout,nl,9639,,*hulta-
355,Holz,de,9639,,*hulta-
356,honey,en,9690,,*hunanga-
357,honing,nl,9690,,*hunanga-
358,Honig,de,9690,,*hunanga-
359,hond,nl,9949,,*hunda-
360,Hund,de,9949,,*hunda-
361,hunger,en,9991,,*hungru-
362,honger,nl,9991,,*hungru-
363,Hunger,de,9991,,*hungru-
364,hunt,en,35795,,*huntōn-
365,Haufen,de,8917,,*hūpan-
366,horen,nl,35355,,*hurna-
367,Horn,de,9717,,*hurna-
368,horn,en,9717,,*hurna-
369,hurry,en,45027,,*hurzōn-
370,house,en,8941,,*hūsa-
371,huis,nl,8941,,*hūsa-
372,Haus,de,8941,,*hūsa-
373,who,en,51841,,*hwa-
374,wie,nl,51836,,*hwa-
375,wat,nl,51247,,*hwa-
376,wer,de,51851,,*hwa-
377,was,de,51247,,*hwa-
378,where,en,52376,,*hwar
379,waar,nl,52379,,*hwar
380,wo,de,52376,,*hwar
381,white,en,51640,,*hwīta-
382,wit,nl,51640,,*hwīta-
383,weiß,de,51640,,*hwīta-
384,hij,nl,30550,,*i-
385,ijlen,nl,29907,,*īljan-
386,eilen,de,29907,,*īljan-
387,ijzer,nl,3921,,*īsarna-
388,Eisen,de,3894,,*īsarna-
389,jagen,nl,35800,,*jakk
390,jaar,nl,10080,,*jēra-
391,Jahr,de,10080,,*jēra-
392,young,en,35929,,*junga-
393,jong,nl,35929,,*junga-
394,jung,de,35929,,*junga-
395,jij,nl,29554,,*jūz
396,ihr,de,35689,,*jūz
397,cold,en,35975,,*kalda-
398,koud,nl,35955,,*kalda-
399,kalt,de,35955,,*kalda-
400,call,en,41766,,*kalzōjan-
401,comb,en,36009,,*kamba-
402,Kamm,de,10430,,*kamba-
403,kämmen,de,36009,,*kamjan-
404,keel,nl,10601,,*kelōn-
405,Kehle,de,10601,,*kelōn-
406,kind,nl,10814,,*kinϸa-
407,Kind,de,10814,,*kinϸa-
408,clean,en,41205,,klīnjan-
409,klein,nl,36276,,klīnjan-
410,cloth,en,20650,,*klaiþa-
411,clay,en,12772,,*klajja-
412,klei,nl,12772,,*klajja-
413,kleben,de,36254,,*klibēn-
414,climb,en,36343,,*klimman-
415,klimmen,nl,36343,,*klimman-
416,klinken,nl,36459,,*klingan-
417,klingen,de,36459,,*klingan-
418,knie,nl,11219,,*knewa-
419,Knie,de,11219,,*knewa-
420,Knochen,de,11222,,*knukō
421,knot,en,11329,,knūþō
422,Knoten,de,11325,,knūþō
423,cow,en,12003,,*kō-
424,koe,nl,12003,,*kō-
425,Kuh,de,12003,,*kō-
426,cool,en,37196,,*kōlu-
427,koel,nl,37196,,*kōlu-
428,kühl,de,37196,,*kōlu-
429,kracht,nl,11588,,*kraftu-
430,kraag,nl,11627,,*kragan-
431,Kragen,de,11648,,*kragan-
432,crane,en,11777,,*kran[aō]n-
433,krank,de,36836,,*kranga-
434,creep,en,37117,,*kreupan-
435,kruipen,nl,37117,,*kreupan-
436,kool,nl,11372,,*kula-
437,coal,en,11372,,*kula-
438,king,en,11401,,kunja-
439,koning,nl,11417,,kunja-
440,König,de,11417,,kunja-
441,kunnen,nl,36717,,*kunnan-
442,können,de,36717,,*kunnan-
443,Korn,de,11478,,*kurna-
444,kiss,en,37297,,*kussjan-
445,kussen,nl,37297,,*kussjan-
446,küssen,de,37297,,*kussjan-
447,komen,nl,36704,,*kweman-
448,kommen,de,36704,,*kweman-
449,lay,en,37940,,*lagjan-
450,leggen,nl,37940,,*lagjan-
