ID,cognate,lang,cognateID,borrowed,pgmc_forms
2113,häl,sv,5083,,
2114,knä,sv,11219,,
2115,åder,sv,209,,
2116,sena,sv,19130,,
2117,hjärna,sv,6675,,
2118,hjärta,sv,9276,,
2119,andedräkt,sv,1081,,
2120,svält,sv,10007,,
2121,hunger,en,9991,,
2122,tår,sv,21816,,
2123,sömn,sv,17984,,
2124,dröm,sv,21860,,
2125,stjärna,sv,20414,,
2126,våg,sv,22833,,
2127,bölja,sv,22788,,
2128,vatten,sv,22601,,
2129,sten,da,20366,,
2130,damm,sv,20316,,
2131,rök,sv,16457,,
2132,gnista,sv,6167,,
2133,eld,sv,5221,,
2134,ljus,sv,34572,,
2135,skugga,sv,17754,,
2136,väder,sv,22942,,
2137,dimma,sv,15169,,
2138,töcken,sv,15188,,
2139,moln,sv,23340,,
2140,snö,sv,18453,,
2141,köld,sv,10331,,
2142,hetta,sv,9464,,
2143,regnbåge,sv,16774,,
2144,åska,sv,3306,,
2145,dunder,sv,3291,,
2146,strömning,sv,20828,,
2147,dropper,sv,21908,,
2148,lort,sv,3458,,
2149,smuts,sv,18382,,
2150,träsk,sv,21102,,
2151,mosse,sv,14458,,
2152,äng,sv,23098,,
2153,höjd,sv,9555,,
2154,kulle,sv,9807,,
2155,backe,sv,456,,
2156,fjäll,sv,1714,,
2157,håla,sv,9579,,
2158,slänt,sv,112,,
2159,sluttning,sv,125,,
2160,källa,sv,16295,,
2161,bäck,sv,1233,,
2162,älv,sv,5646,,
2163,flod,da,5656,,
2164,strand,sv,22046,,
2165,vik,sv,2737,,
2166,blomma,sv,2043,,
2167,blomster,sv,2063,,
2168,gräs,sv,7945,,
2169,träd,sv,1577,,
2170,stam,nl,20143,,
2171,löv,sv,2041,,
2172,björk,sv,1987,,
2173,fjäder,sv,4811,,
2174,fäll,sv,4957,,
2175,klöv,sv,11052,,
2176,svans,sv,18899,,
2177,stjärt,sv,18872,,
2178,ägg,sv,3727,,
2179,näste,sv,15245,,
2180,djur,sv,21495,,
2181,flock,en,9207,,
2182,ko,da,12003,,
2183,tjur,sv,2763,,
2184,häst,sv,16014,,
2185,svin,sv,18975,,
2186,ekorre,sv,3789,,
2187,älg,sv,3926,,
2188,räv,sv,6120,,
2189,fågel,sv,22290,,
2190,svärm,sv,18914,,
2191,höns,sv,9911,,
2192,tupp,sv,8447,,
2193,anka,sv,4170,,
2194,kråka,sv,11686,,
2195,svan,sv,18835,,
2196,abborre,sv,1386,,
2197,gädda,sv,9038,,
2198,mask,sv,23590,,
2199,spindel,sv,19795,,
2200,myra,sv,355,,
2201,mygga,sv,14567,,
2202,fjäril,sv,18328,,
2203,bär,sv,1618,,
2204,äpple,sv,563,,
2205,svamp,da,16101,,
2206,sådd,sv,17374,,
2207,skal,sv,17720,,
2208,fälla,sv,4569,,
2209,spår,sv,19942,,
2210,järn,sv,3908,,
2211,guld,da,7798,,
2212,silver,en,19299,,
2213,människa,sv,14065,,
2214,kvinna,sv,5689,,
2215,pojke,sv,10182,,
2216,flicka,sv,13539,,
2217,familj,sv,4645,,
2218,morfar,sv,8183,,
2219,farmor,sv,8166,,
2220,föräldrar,sv,4052,,
2221,dotter,sv,21580,,
2222,syster,sv,19045,,
2223,morbror,sv,15781,,
2224,tant,sv,21348,,
2225,äkta man,sv,3706,,
2226,fröjd,sv,5810,,
2227,glädje,sv,5769,,
2228,åtlöje,sv,6785,,
2229,lycka,sv,7750,,
2230,önskan,sv,23555,,
2231,lust,nl,13427,,
2232,ande,sv,6690,,
2233,förstånd,sv,22228,,
2234,betydelse,sv,19333,,
2235,skäl,sv,8289,,
2236,grund,da,8295,,
2237,sanning,sv,22370,,
2238,berättelse,sv,4318,,
2239,meddelande,sv,14801,,
2240,namn,sv,15089,,
2241,gåta,sv,16409,,
2242,stämma,sv,20490,,
2243,tecken,sv,23827,,
2244,oväsen,sv,12381,,
2245,ljud,sv,12585,,
2246,sång,sv,13109,,
2247,lugn,sv,17275,,
2248,arbete,sv,674,,
2249,gäst,sv,6392,,
2250,gåva,sv,7059,,
2251,present,sv,7042,,
2252,spel,nl,19743,,
2253,sällskap,sv,7219,,
2254,hjälp,sv,9394,,
2255,vän,sv,5860,,
2256,kamrat,sv,10392,,
2257,ärende,sv,394,,
