ID_1	cognate_1	language_1	cognateID_results_1	cognateID_wiki_1	borrowed_1	pgmc_forms_results_1	pgmc_forms_wiki_1		ID_2	cognate_2	language_2	cognateID_results_2	cognateID_wiki_2	borrowed_2	pgmc_forms_results_2	pgmc_forms_wiki_2
465	lie	en	38394	false	*leg(j)an-		476	lie	en	38394	false	*leugan-
465	lie	en	38394	false	*leg(j)an-		476	lie	en	38394	false	*leugan-
465	lie	en	38394	false	*leg(j)an-		467	liegen	de	38394	false	*leg(j)an-
465	lie	en	38394	false	*leg(j)an-		476	lie	en	38394	false	*leugan-
465	lie	en	38394	false	*leg(j)an-		476	lie	en	38394	false	*leugan-
467	liegen	de	38394	false	*leg(j)an-		476	lie	en	38394	false	*leugan-
467	liegen	de	38394	false	*leg(j)an-		476	lie	en	38394	false	*leugan-
476	lie	en	38394	false	*leugan-		476	lie	en	38394	false	*leugan-
476	lie	en	38394	false	*leugan-		476	lie	en	38394	false	*leugan-
476	lie	en	38394	false	*leugan-		476	lie	en	38394	false	*leugan-
473	let	en	37541	false	*lētan-		473	let	en	37541	false	*lētan-
477	light	en	25331	false	*leuhada-		477	light	en	25331	false	*leuhada-
485	like	en	38961	false	*līka-		485	like	en	38961	false	*līka-
495	lock	en	18184	false	*lukka-		495	lock	en	18184	false	*lukka-
495	lock	en	18184	false	*lukka-		495	lock	en	18184	false	*lukka-
495	lock	en	18184	false	*lukka-		495	lock	en	18184	false	*lukka-
501	man	en	13702	false	*mannan-		501	man	en	13702	false	*mannan-
501	man	en	13702	false	*mannan-		502	Mann	de	13702	false	*mannan-
506	meal	en	4387	false	*mēla-		506	meal	en	4387	false	*mēla-
507	melt	en	43491	false	*meltan-		692	schmelzen	de	43491	false	*smeltan-
509	milk	en	38793	false	*mel(u)kan-		509	milk	en	38793	false	*mel(u)kan-
509	milk	en	38793	false	*mel(u)kan-		509	milk	en	38793	false	*mel(u)kan-
509	milk	en	38793	false	*mel(u)kan-		509	milk	en	38793	false	*mel(u)kan-
519	messen	de	38839	false	*metan-		519	messen	de	38839	false	*metan-
520	Mutter	de	14678	false	*mōder-		521	mother	en	14678	false	*mōder-
521	mother	en	14678	false	*mōder-		521	mother	en	14678	false	*mōder-
526	mind	en	22235	false	*mundi-		526	mind	en	22235	false	*mundi-
528	Mund	de	14608	false	*munþa-		528	Mund	de	14608	false	*munþa-
548	naked	en	39133	false	*nakwe		548	naked	en	39133	false	*nakwe
